assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_label
CHEMBL769664,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,CHEMBL416376,IC50,nM,150.0,CHEMBL1939,IC50,uM,0.15,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,CHEMBL416376,IC50,nM,19850.0,CHEMBL1939,IC50,uM,19.85,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,CHEMBL416376,IC50,nM,170.0,CHEMBL1939,IC50,uM,0.17,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,CHEMBL416376,IC50,nM,21120.0,CHEMBL1939,IC50,uM,21.12,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,CHEMBL118602,IC50,nM,5060.0,CHEMBL1939,IC50,uM,5.06,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,CHEMBL118602,IC50,nM,760.0,CHEMBL1939,IC50,uM,0.76,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,CHEMBL118602,IC50,nM,16260.0,CHEMBL1939,IC50,uM,16.26,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,CHEMBL118602,IC50,nM,120.0,CHEMBL1939,IC50,uM,0.12,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,CHEMBL118602,IC50,nM,5370.0,CHEMBL1939,IC50,uM,5.37,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,CHEMBL118602,IC50,nM,50.0,CHEMBL1939,IC50,uM,0.05,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,CHEMBL118602,IC50,nM,11300.0,CHEMBL1939,IC50,uM,11.3,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,CHEMBL419055,IC50,nM,2400.0,CHEMBL1939,IC50,uM,2.4,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,CHEMBL419055,IC50,nM,360.0,CHEMBL1939,IC50,uM,0.36,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769668,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,CHEMBL419055,IC50,nM,250.0,CHEMBL1939,IC50,uM,0.25,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,CHEMBL22146,IC50,nM,4660.0,CHEMBL1939,IC50,uM,4.66,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,CHEMBL22146,IC50,nM,700.0,CHEMBL1939,IC50,uM,0.7,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,CHEMBL22146,IC50,nM,25610.0,CHEMBL1939,IC50,uM,25.61,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,CHEMBL22146,IC50,nM,210.0,CHEMBL1939,IC50,uM,0.21,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,CHEMBL22146,IC50,nM,38020.0,CHEMBL1939,IC50,uM,38.02,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22811,IC50,nM,310.0,CHEMBL1939,IC50,uM,0.31,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22811,IC50,nM,50.0,CHEMBL1939,IC50,uM,0.05,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22811,IC50,nM,27760.0,CHEMBL1939,IC50,uM,27.76,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22811,IC50,nM,130.0,CHEMBL1939,IC50,uM,0.13,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22811,IC50,nM,30580.0,CHEMBL1939,IC50,uM,30.58,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22811,IC50,nM,260.0,CHEMBL1939,IC50,uM,0.26,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22811,IC50,nM,26080.0,CHEMBL1939,IC50,uM,26.08,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22901,IC50,nM,70.0,CHEMBL1939,IC50,uM,0.07,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22901,IC50,nM,10.0,CHEMBL1939,IC50,uM,0.01,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22901,IC50,nM,5010.0,CHEMBL1939,IC50,uM,5.01,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22901,IC50,nM,40.0,CHEMBL1939,IC50,uM,0.04,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22901,IC50,nM,13150.0,CHEMBL1939,IC50,uM,13.15,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22901,IC50,nM,110.0,CHEMBL1939,IC50,uM,0.11,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22901,IC50,nM,19450.0,CHEMBL1939,IC50,uM,19.45,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,CHEMBL120123,IC50,nM,6840.0,CHEMBL1939,IC50,uM,6.84,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,CHEMBL120123,IC50,nM,1030.0,CHEMBL1939,IC50,uM,1.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,CHEMBL120123,IC50,nM,25240.0,CHEMBL1939,IC50,uM,25.24,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,CHEMBL120123,IC50,nM,180.0,CHEMBL1939,IC50,uM,0.18,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,CHEMBL120123,IC50,nM,2850.0,CHEMBL1939,IC50,uM,2.85,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,CHEMBL120123,IC50,nM,20.0,CHEMBL1939,IC50,uM,0.02,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,CHEMBL120123,IC50,nM,4820.0,CHEMBL1939,IC50,uM,4.82,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL279948,IC50,nM,4480.0,CHEMBL1939,IC50,uM,4.48,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL279948,IC50,nM,670.0,CHEMBL1939,IC50,uM,0.67,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL279948,IC50,nM,4380.0,CHEMBL1939,IC50,uM,4.38,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL279948,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL279948,IC50,nM,2640.0,CHEMBL1939,IC50,uM,2.64,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL279948,IC50,nM,20.0,CHEMBL1939,IC50,uM,0.02,"PfDHFR-TS K1 (P. falciparum, resistant)"
